screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
PapaMojoJoeJoe,Joe,"Los Angeles, CA","Baseball fan, #GoDodgers! Fan of Socially Conscious & Conscious persons and people, locally to around the universe. Listener tho, Caller Out of Bull Shit.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
mollyesbian,Molly,"London, England",Molly/Molmol/Zoe | 22 | she/they/its | asexual | bi | agender vampire cat | please be patient with me as i have BPD | expect random vents if you follow,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Usige_Beatha,Feadóg,,"HERE THERE BE NSFW, SOMETIMES. +18 #EndPAEA #PostalBanking
https://t.co/EEmWJb5pMU
#BanAssaultWeapons #FreeRealityWinner","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
probablyrobin_,robin ✿,,robin | they/them | 18 | 🏳️‍🌈 | 🇧🇷/🇸🇬 | i draw sometimes ☂️,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
datadivajf,"Juicy Cake of Figs, BA English ‏‎חיי שחורים נחשבים",New York City,"Whovian, Trekker, general geek. Culture Vulture, choral singer. Veggie. Political Lefty. Sweet Jewish person. Most avatars courtesy @TheDoctorPuppet. She/her","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
hllizi,Dieu,zuhause,"Heißen wie Gott in Frankreich

er/sein/der

PGP 63753D146386893022D273025D47C3706B306B0C","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
2uricata,⚧️☭Suri kaiserin de Cartagena☭⚧️,She/Her,"(L)GB(T)I 
💞 @Lanadeuwu 💞
Depressed 24/7
Candado: @Surichikita

TW nsfw, suicidio, depresión, comida, etc","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Uncanny_Mac,Marcos Alvarez,"Somewhere In, California",He/Him. Working on something. A hobbyist photographer & wannabe Twitch streamer. Follow my Instagram & Twitch w/ the same username. #BLM 🇲🇽🇺🇸,"RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Jeff_Brosnan,Jeff Brosnan,"Fort Lauderdale, FL",Sports Fan.,@TheAmitie Transgender is very complicated and does not fit neatly into a box.,,,,,,
serberusu,✨⚡ser お兄さん⚡✨,milf city,🔞30+/nsfw | hot feral bitch who loves himself💋💅 | 日本語/ENG 👌| BL GL dont like dont look | art: https://t.co/srJcC8sDbc,"RT @TheChrisMosier: Trans kids are KIDS.
Trans people are PEOPLE.

When lawmakers dehumanize us through bills &amp; demeaning commentary, THIS…",,,,,,
ddbuon,ddbuon,SF Bay Area,,RT @JewdyGold: Stop attacking transgender youth. Just fucking stop it.,,,,,,
byranwilson,byranwilson,,"Entrepreneur, Green Energy Guru, Student of Politics, Economics and Science",RT @bio_evaluar: @TheRealHoarse @Caitlyn_Jenner Jenner embracing a party that literally writes laws against transgender people is probably…,,,,,,
barbfease,Barbara Fease,"Appleton, WI","7 grandchildren, too many untried recipes, well-worn paperbacks by Dorothy Sayers and Charlotte MacLeod, a dwindling stash of quilting material.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
YeoPsmith,Louise Ashley Yeo Payne,,"Magician, writer & pod-caster She/Her
33
Half of @thelhcpodcast
Mute #NSFW if you are under 18","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
MrJackLegend,Jack Legend,Texas,"Father, gamer, and scribbler of things.
Support GRSM folks.
Religion doesn't make bad people better; it just makes good people worse.
He/Him.","RT @ACLU: Transgender youth who have testified against anti-trans bills are receiving death threats. 

They shouldn’t have to fight this ha…",,,,,,
Susan9587,BaltimoreToMyCore,transplanted to FL,"#BLM #IStandWithLGBTQ #JoeAndKamala #WearYourMask
#VotersRights #AmyForAmerica #Gillibrand
Be the person your dog thinks you are.PLEASE NO DMs","Ok, she should be commended for her openess about being transgender but she is not bright enough to govern anything. https://t.co/yCCcXdEuwU",,,,,,
