screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
mommasaysobama,Maggie Aliaga-Kelly,"New York, NY",‘MY MOMMA SAYS OBAMA' Float like a Butterfly 🦋 & Sting like a Bee 🐝 & Fight 🥊 like Ali to Awaken ‘The Last American Dream’ from Trump’s Russian Nightmare❗️,"RT @lauraalbert: @PaisleyRekdal  darlin', are you aware that your term ""transgenderism"" is a deliberate mischaracterization of transgender…",no,no,no,no,no,no
Ghostryder12343,Ghostryder,Your mom's house,He/him | White | 15 | NA | Play just about anything | Little Caesar's aficionado | streamer | smash follow or I smash skull | in love with @gwilledp 💞,"@PlanetaceO @SulaymanAbdur @VideosFolder YOUR MOM IS A TRANSGENDER.
I AM A PROFESSIONAL NUDE SENDER.",yes,no,no,no,no,no
gaybugfeet,fleur,5’2” :),marianne williamson reply girl,RT @femcelgirlboss: first time using the womans restroom transgender people can do anything 💛 https://t.co/ncSHRnW7Dl,no,no,no,no,no,no
LSALad,Darren,,"Lancastrian, living in Northumberland, England's Border Country.","RT @MomsDemand: Two transgender women were shot and killed inside hotel rooms in Charlotte, North Carolina over the past few days—Jaida Pet…",no,no,no,no,no,no
wolfb0y_,ji,they/them ,"my other acc was suspended but I'm back get pranked nerds |
pfp art: NUDEKAY",RT @staceys5551: Can someone please explain to me the house bill 1457 that was passed in Florida yesterday?? Transgender and any female CHI…,no,no,yes,no,no,no
LilithUntamed,DarkMaid🏺,,Doubt is virtue. Faith is vice. Blasphemy is a right. Unfalsifiable ideas are not worth consideration. Arguments from authority are worthless.,RT @staceys5551: Can someone please explain to me the house bill 1457 that was passed in Florida yesterday?? Transgender and any female CHI…,no,no,no,no,no,no
loma_rae,Lo.Ma Rae,"California, USA","I'm just here to witness the chaos

Nasty Woman Resisting","RT @MomsDemand: Two transgender women were shot and killed inside hotel rooms in Charlotte, North Carolina over the past few days—Jaida Pet…",no,no,no,no,no,no
VirtualMoth,Harlow,Pumpkin HIll,"Game Dev @TynkGame. Posts fanart every few months, mostly just talks. BLM. She/They. White. 24.🐛🐞","RT @larsen_project: You can find some details about PA's anti trans bill here: https://t.co/H1zzfoDG9M

I've found, when calling (for anyth…",no,yes,yes,no,no,no
mst3kharris,Katherine Harris,US Land Cession 243,No one of consequence.  She/her.,"RT @ByChipBrownlee: Charlotte officials issued a ""dire warning"" Thursday that someone may be targeting transgender women. Two trans women h…",no,yes,no,no,no,no
DieMadTerf,Janet Inglis 🌹,Australia,Woman. 🌹,"RT @dospeaksensibly: @ImWatson91 @BluskyeAllison https://t.co/x9l6u7l1AH

No hormone treatment, no surgery, no GRC: 15 years for rape with…",no,no,no,no,no,no
risi_pieces,hollis “blm acab” risi ♿️🏳️‍🌈🏳️‍⚧️,the ✨cool zone✨,THEY/THEM / bisexual knife / queer #actuallyautistic zoomer / send me pictures of your pets / pfp by @gabbydarienzo,"RT @ByChipBrownlee: Charlotte officials issued a ""dire warning"" Thursday that someone may be targeting transgender women. Two trans women h…",no,no,yes,no,no,no
ThinkingIsHere,criticalthinker,,a social psychologist who studies trends in group think & the ethics of tech tools & all forms of media on culture. no gods - no masters. Pronouns: bee/bop/boop,"RT @jo_bartosch: Dear fellow journos. Please stop saying ‘transgender children.’ Having ‘gender dysphoria’ does not mean a child, or indeed…",no,no,no,no,no,no
Nomad_1x,15k Nomad,PLAYING FORTNITE XD XD,"Content Creator For @15kings
🏴󠁧󠁢󠁷󠁬󠁳󠁿  x 🇳🇿
$2.2k
Certified God Tweeter","@FaZeSway Sway, this is unacceptable talking about drugs. My 8 year old transgender non binary daughter who identif… https://t.co/lexSz8GEOx",no,no,no,no,no,no
ronald_hicks,RONALD HICKS,,A little annoyed with social media nonsense seeing as how I had to create a new account over nothing.,"RT @CNN: Authorities have arrested two suspects in connection with the killings of two transgender women in Charlotte, North Carolina https…",no,no,no,no,no,no
VHSdr3ams,🍍Sully🍍Your Furry Uncle🍍,,"🍍Sully🍍20🍍Queer🍍They/He🍍
This is my funny page
🍍Art page here: @VHS_DREAMER 🍍","RT @larsen_project: You can find some details about PA's anti trans bill here: https://t.co/H1zzfoDG9M

I've found, when calling (for anyth…",yes,no,yes,no,no,no
viral_editor,ViralTemperature,"New York, USA",Viral news in excerpts & summaries. #news #trending #latest,"#Celebs #ElliotPage #Pride #trans #transgender Elliot Page Blasts U.S. Anti-Trans Legislation As ‘Upsetting, Cruel… https://t.co/q4FsxJrB9l",no,no,no,no,no,no
BareFacedStitch,Ever Gemma,,"Ⓐntifascist, queer disabled nerd who likes to sew. She/They. #TransRights | #StandWithNapier 

I make cross stitch patterns.",RT @BritishAOC: Rosie Duffield is a strong voice for women! Unless you are transgender and/or a sex worker 😀😀 https://t.co/E4WPajLa6s,no,yes,yes,no,no,no
benhuskinson,Benjamin L. Huskinson,"Juneau, AK","Historian of science and religion. Author @Palgrave. FRHistS. Views mine, RT ≠ support. He/Him. Currently in exile. Will research for biscuits.","RT @ByChipBrownlee: Charlotte officials issued a ""dire warning"" Thursday that someone may be targeting transgender women. Two trans women h…",yes,no,no,no,no,no
sojosay,Sojosay,AK and ID,#TheResistance #resistracism #resistsexism #resistignorance #celebratediversity. Thrilled with a new administration in town!,RT @staceys5551: Can someone please explain to me the house bill 1457 that was passed in Florida yesterday?? Transgender and any female CHI…,no,no,no,no,no,no
